nufus,bina_yikim_orani,hava_sicakligi,ulasim_durumu,yasli_nufus_orani,acil_barinma_ihtiyaci,gida_ihtiyaci,su_ihtiyaci,medikal_ihtiyac,ekip_ihtiyaci
4977934,0.6728263562058859,30.978526117724805,0,0.10286027404307443,255675,890771,5160297,170146,1950
287869,0.9420561490330617,18.940291674159493,1,0.13601751210643237,29077,73086,392247,16600,304
4232334,0.1458858569184408,-2.9139397230235864,1,0.1887180995911094,68954,206408,802723,62241,334
3173458,0.45368435794768713,4.438982901303344,1,0.19612285198358514,162913,403783,1943760,154093,815
1251052,0.5435631239749626,30.139725102655348,2,0.21226228989990037,56078,220949,1053076,68870,473
2301430,0.10833803009143916,3.2241604022352153,1,0.14813275999699899,27574,80195,351265,17755,120
1729313,0.6769056919371166,34.229423188015,2,0.17208456008063872,110573,344559,1730616,92827,530
3097955,0.5664356149215415,8.749374264832264,1,0.10080487705217689,193164,539048,2789303,97393,1003
3809146,0.3480420588875117,13.162159470251918,2,0.1678519601183072,126661,369157,1908414,110367,684
5299083,0.4129173826034642,23.468622178786465,1,0.15680477196538878,211453,648352,3161896,190667,1461
3149129,0.7962289176040044,29.40252966692566,1,0.1337884551749422,207875,732206,3802849,165703,1406
1278950,0.35641322280696996,27.92038456549318,1,0.09422778151423664,37360,147993,686282,16831,328
3309041,0.9726331451146794,30.104556019898403,2,0.0902874467397071,315870,1041533,4702524,139966,2113
5318512,0.9181846335524408,16.91400224393279,1,0.14209730992823963,508868,1454074,7438491,356518,2419
1999246,0.07808611679049138,8.84155821344284,2,0.1516681686624048,16833,47297,237518,11817,102
5502783,0.8524168263965496,4.2416625429464805,1,0.09208558855236797,546985,1439888,8066148,259888,2775
2702640,0.673778934478518,36.24586745474998,1,0.11785101690234305,127555,514109,2514785,108924,1026
5941950,0.05531949698553684,19.669932831537437,1,0.18154290210011076,36974,104165,512831,31096,147
1572848,0.9553661368178342,36.66562465890377,1,0.18988898030093915,120087,451405,2101917,168514,1127
2303871,0.8334869804002868,16.215039995691907,2,0.18108384499080327,203567,540088,2944949,168558,1017
4615267,0.8326839632564564,11.131408921023613,1,0.1191852374421666,443386,1319796,4993392,230523,2234
2667102,0.9156449921115078,21.28721918646763,2,0.21548628441547246,255011,664465,3762427,273649,1595
4666381,0.9210843010221293,37.70360410012342,2,0.1258773318454815,332684,1279892,5859855,257737,2110
664544,0.21907953146441606,32.182696310958704,0,0.19875942568928784,12176,44665,217739,14955,109
4015681,0.9373626095513754,12.610928370159371,0,0.1758752967071747,460189,1120073,5842609,344673,1647
3665479,0.04793012938412089,-3.1511109828327593,1,0.13794924989576515,24425,50971,289942,14760,97
3463379,0.8814323054374781,12.573769029486552,0,0.12664217261892208,339525,878954,4154677,227082,1585
1304375,0.4567125224176356,27.623197360583298,2,0.16513121548906826,45175,156045,859198,46536,441
5991506,0.831167748366415,-4.925914586120122,2,0.11232559397388711,622752,1404061,8506149,276973,2561
2490724,0.2730412985439642,30.804709258100225,0,0.14359687042599198,66949,205668,1040039,55130,393
564543,0.7548630521424123,6.194309740872127,1,0.1629982224272578,49824,142818,667424,36362,387
3899085,0.8046999058512391,10.744455963475046,2,0.18388835037309398,301372,876636,5689110,313240,1670
276339,0.08093737158373315,34.58938511661651,0,0.11100099293486465,2013,6784,32372,1213,28
1328748,0.914414460752642,11.087435011547775,1,0.08949600098063369,139648,367495,1936565,60816,886
5139574,0.8172505974725556,15.562113585170973,2,0.1061507136941687,452421,1040158,6702216,253296,2270
2987633,0.5954620298185096,14.087837196026193,2,0.1691628835306827,157297,499506,2803105,137367,994
1832933,0.7079293999505097,10.605225518445216,1,0.19250504189749862,111886,398078,1784145,143885,676
1987974,0.3458202832516861,-1.4968330807910397,1,0.11061713416688537,99936,209347,1141430,30332,443
3250798,0.4705603626687358,13.226318825754682,1,0.15853473504029425,161683,415611,2427882,130471,982
602162,0.14736283396794125,16.205360600972355,1,0.13455207752869613,9598,28680,135026,5510,80
3210993,0.4999072858891178,4.3871579672904275,1,0.08376309501036722,201737,469565,2338260,66471,795
511416,0.7828213461436294,30.503010404938287,0,0.09273956951166971,31118,124948,671382,20687,435
1603219,0.5583964184532096,16.266791561799977,1,0.08441570562520531,89251,268238,1352969,39498,353
1333114,0.1334843959899742,5.258447785256957,1,0.14782103989478165,20890,58083,264072,14518,111
471376,0.8295519919030981,-0.6843491550957781,0,0.18263905294810084,46352,121590,607646,36857,428
2751067,0.7379867675284307,19.846559601404344,1,0.08853135354326894,203987,599380,3312310,92302,1068
5057714,0.037354975360983644,15.578380098642771,2,0.11871370658210734,20023,54372,292626,11908,118
346698,0.8048816811146204,25.754656594336215,1,0.08472626049956711,25628,98044,416186,11487,341
220637,0.8652444853096971,37.49823213256324,2,0.10695583624335567,15034,56838,284761,10265,213
3938210,0.5123795634425967,3.6186173813922533,2,0.1666288388910564,244609,685080,3256810,160825,1405
5137439,0.37859381232645817,26.525925468591833,1,0.1412171808216117,174233,576818,2561555,136277,841
2458363,0.08347909181321123,13.55493788757542,1,0.11469383723800577,22347,64599,301033,12673,89
1636523,0.8282759783077412,11.998427885753081,1,0.11847465570622943,138578,415137,2143899,60016,747
3493389,0.0036588640644755754,7.425635765597299,1,0.09772614455573268,1122,3109,17509,673,5
198396,0.3434866959260868,10.374745793498626,1,0.1692755617561023,6978,19835,92340,6388,91
3448750,0.32773520659458477,0.06770150776428796,0,0.1888649575922076,132710,343661,1893097,92346,474
201668,0.9120123284372971,14.581908290282371,1,0.1613078345894908,17339,66191,270689,16988,166
5926013,0.44929106787451956,20.265768956857325,2,0.1364172581087901,296373,830708,4350953,159204,1005
3901571,0.8886575384039566,7.020326483298129,1,0.10467461159292926,440522,963656,4509255,173002,1556
316330,0.08929523471394496,14.50790205166976,2,0.18181306745333045,3382,8231,49962,2678,28
