nufus,bina_yikim_orani,hava_sicakligi,ulasim_durumu,yasli_nufus_orani,acil_barinma_ihtiyaci,gida_ihtiyaci,su_ihtiyaci,medikal_ihtiyac,ekip_ihtiyaci
16725,0.7842927716358675,31.19545236950242,1,0.2197231302931089,11784,35947,81965,3398,132
29030,0.3937743143143477,17.481389865153677,2,0.0924610987864178,11664,31838,149158,1540,79
18730,0.3315730875227187,25.929423633411226,2,0.2176486995726839,5857,16188,88721,2386,57
16377,0.5310053138827935,-2.24465186208767,0,0.1372156772136771,10005,21624,86600,1776,87
8763,0.8293878939421844,31.401302752234532,2,0.1055206878577778,6853,17275,42656,1195,113
47203,0.6437223393096728,20.05591980890431,1,0.1156996027122099,31876,72057,238919,4949,143
24766,0.6925469143371262,0.0651515181078199,0,0.1612462455983306,23748,48625,130498,4455,116
23241,0.6764376039720322,16.434940900372485,0,0.0832085286100458,16668,39812,114047,1961,98
1096,0.8177454679543938,20.675703518721036,2,0.2030092737921374,894,2298,6027,254,118
24166,0.712144149735039,9.652469610743337,1,0.1282946626450515,19820,49018,111688,4107,130
6664,0.3012356786475166,25.577994828405423,1,0.1147239968420377,1824,4225,31704,367,43
34710,0.2734757890014285,19.997347897376432,2,0.1429582446194978,10358,27382,195316,2135,54
1111,0.281567983588395,31.137794239558573,1,0.100942347498465,286,723,5401,55,40
37249,0.2597011806169578,32.129793590518375,1,0.2054624235539996,8826,21450,181376,3129,71
18747,0.2561975561093382,-2.323577893060643,2,0.2189009126810349,6458,10814,97782,1643,41
36662,0.8008767832722976,22.798654202515223,2,0.1341395196596631,33295,64690,187569,5451,124
4325,0.8137468326369112,26.07227661481145,2,0.0885022417089036,3371,9394,20134,335,106
32140,0.1673908032975047,1.1327559638666358,1,0.2187094323442346,6187,14094,155288,2003,56
15944,0.1480557622092681,32.988282505619466,1,0.1947068751430534,2153,6386,82954,735,30
18476,0.7427727403787413,31.828390797188085,2,0.1665107197998524,11399,31433,85589,3275,109
8985,0.5228063971215259,0.9981717755395936,1,0.1987627721213524,5342,12282,47873,1582,63
46507,0.2586747389685494,32.981146775091034,1,0.1762836703657958,12237,30932,215745,3149,94
27626,0.4463625144000535,22.80563580680047,1,0.1709548221796852,11807,30309,161614,3417,68
7484,0.1553097242580137,28.831683063838128,0,0.0969518196879893,950,3161,38362,176,34
18730,0.8366625125990997,29.3376888885375,2,0.196115103540294,13725,36889,97772,4983,131
31255,0.2049635739928798,1.958777494520629,2,0.2045434273081348,7065,13108,142704,1939,52
7648,0.7049150012789921,-2.3050875079491155,1,0.1746675768651659,6351,14615,39886,1372,107
23461,0.818634863878643,22.390484282850068,1,0.0842327378414354,15631,50922,133229,2256,145
24728,0.6332583345191766,9.50169990503359,2,0.144470176512261,16974,37623,130962,3126,116
18543,0.1664132307459234,6.199742550377119,1,0.2140713361662251,3292,7720,89520,1056,32
5195,0.5424887352783488,0.5842069881727161,1,0.204731121975504,3779,7009,26509,850,51
3428,0.1969123749365728,31.95321893384351,2,0.1999648864511894,655,1638,17109,214,15
9028,0.75021252458123,19.571582650510223,1,0.1541931707788878,6443,17412,47018,1317,123
4252,0.6046197671544145,30.978526117724805,0,0.1028602740430744,1947,6479,21226,418,108
18766,0.8065421117747963,18.940291674159493,1,0.1360175121064323,14266,36957,82353,3179,121
29513,0.2094143926888306,-2.9139397230235864,1,0.1887180995911094,8296,15333,163432,1786,53
12894,0.4402632684607653,4.438982901303344,1,0.1961228519835851,6460,12559,66646,1889,45
